title,description
Inception,"A thief who enters people's dreams and steals secrets from their subconscious."
Interstellar,"An astronaut travels through a wormhole to find a new home for humanity."
Avatar,"A marine on an alien planet must choose between following orders and protecting the world he loves."
The Dark Knight,"Batman faces off against the Joker, a criminal mastermind who spreads chaos in Gotham."
Titanic,"A love story unfolds between Jack and Rose aboard the ill-fated Titanic."
The Matrix,"A hacker discovers the truth about reality and fights against a world controlled by machines."
Joker,"A failed comedian descends into madness and becomes Gotham's clown prince of crime."
Shazam!,"A teenager gains magical powers and must learn to be a hero."
Black Panther,"A prince must defend his homeland from threats within and outside."
Guardians of the Galaxy,"A group of misfits comes together to save the universe."
The Godfather,"The story of the powerful Corleone crime family."
Pulp Fiction,"Interwoven stories of crime, violence, and redemption in Los Angeles."
The Shawshank Redemption,"A man wrongly imprisoned for murder plans his escape over decades."
Fight Club,"A bored office worker creates an underground fight club as a form of rebellion."
The Avengers,"Earth's mightiest heroes unite to stop an alien invasion."
Iron Man,"A billionaire builds a high-tech suit to fight crime after being kidnapped."
Spider-Man,"A teenager gains spider-like abilities and becomes a superhero."
The Lord of the Rings: The Fellowship of the Ring,"A group sets out to destroy an all-powerful ring."
The Lord of the Rings: The Two Towers,"The journey continues as war threatens Middle-earth."
The Lord of the Rings: The Return of the King,"The final battle for Middle-earth unfolds."
Harry Potter and the Sorcerer's Stone,"A boy discovers he is a wizard and attends a magical school."
Harry Potter and the Chamber of Secrets,"Harry returns to Hogwarts and faces a dangerous secret."
Harry Potter and the Prisoner of Azkaban,"Harry learns about a mysterious prisoner with ties to his past."
Harry Potter and the Goblet of Fire,"Harry competes in a dangerous magical tournament."
Harry Potter and the Order of the Phoenix,"Harry leads a secret student rebellion against a corrupt authority."
Harry Potter and the Half-Blood Prince,"Dark secrets about Voldemort's past come to light."
Harry Potter and the Deathly Hallows: Part 1,"The battle against Voldemort begins outside Hogwarts."
Harry Potter and the Deathly Hallows: Part 2,"The final battle for Hogwarts decides the fate of the wizarding world."
Star Wars: A New Hope,"A young farm boy joins a rebellion against an evil empire."
Star Wars: The Empire Strikes Back,"The rebels face setbacks as Luke trains to be a Jedi."
Star Wars: Return of the Jedi,"The final battle between good and evil in the galaxy."
Star Wars: The Force Awakens,"A new threat rises as the fight for the galaxy continues."
Star Wars: The Last Jedi,"The battle between the Resistance and the First Order intensifies."
Star Wars: The Rise of Skywalker,"The final chapter in the Skywalker saga."
Deadpool,"A former soldier gains healing powers and seeks revenge in a comedic way."
Logan,"An aging Wolverine must protect a young mutant in a dark future."
Doctor Strange,"A brilliant surgeon learns the mystical arts after an accident."
Thor,"A god is cast down to Earth and must prove himself worthy."
Thor: Ragnarok,"Thor must escape a deadly planet and stop the destruction of his home."
Captain America: The First Avenger,"A soldier becomes a super-soldier during World War II."
Captain America: The Winter Soldier,"Cap faces a hidden enemy from his past."
Captain America: Civil War,"Superheroes are divided over government oversight."
Wonder Woman,"A warrior from an Amazonian island enters the world to stop war."
Aquaman,"A half-human, half-Atlantean must reclaim his underwater throne."
The Flash,"A hero who can run at super-speed battles enemies who threaten time itself."
Man of Steel,"Superman struggles with his identity and the responsibility of his powers."
Justice League,"Heroes unite to stop an alien invasion."
The Batman,"A young Batman faces crime and corruption in Gotham."
Dune,"A young nobleman navigates politics, war, and prophecy on a desert planet."
Blade Runner 2049,"A young blade runner discovers a secret that could change humanity."
The Prestige,"Two rival magicians engage in a battle of deception and illusion."
The Revenant,"A frontiersman seeks revenge on those who left him for dead."
The Wolf of Wall Street,"The rise and fall of a wealthy stockbroker involved in fraud."
Django Unchained,"A freed slave teams up with a bounty hunter to rescue his wife."
Mad Max: Fury Road,"A woman rebels against a tyrant in a post-apocalyptic desert."
Gladiator,"A betrayed Roman general seeks vengeance against the emperor."
The Departed,"An undercover cop and a mole try to expose each other in Boston."
Goodfellas,"The rise and fall of a mob associate over decades."
Schindler's List,"A businessman saves Jewish lives during the Holocaust."
Braveheart,"A Scottish warrior leads a rebellion against England."
The Green Mile,"A death row officer discovers a prisoner with a miraculous gift."
Se7en,"Two detectives hunt a serial killer who uses the seven deadly sins."
L.A. Confidential,"A noir crime story set in 1950s Los Angeles."
No Country for Old Men,"A hunter stumbles upon a drug deal gone wrong."
The Silence of the Lambs,"An FBI trainee seeks help from a cannibalistic killer."
A Beautiful Mind,"A mathematician struggles with schizophrenia while making groundbreaking discoveries."
Slumdog Millionaire,"An orphan from Mumbai wins a game show while revealing his life story."
The Grand Budapest Hotel,"A concierge and his protégé are caught up in a murder mystery."
The Social Network,"The rise of Facebook and the legal battles surrounding it."
Whiplash,"A young drummer faces an intense mentor at a music conservatory."
Inside Out,"A young girl’s emotions struggle to guide her through life changes."
Coco,"A boy discovers his family's history in the Land of the Dead."
Ratatouille,"A rat in Paris dreams of becoming a chef."
Finding Nemo,"A clownfish searches for his missing son."
WALL-E,"A lonely robot on Earth finds love and adventure in space."
Up,"An elderly man fulfills his lifelong dream of adventure with a young boy."
